EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_JPY
242,1.34131,15-1-2021,0.25521547237546116,0.3101366394448269,32.20257275179442
243,1.695749,20-1-2021,0.3042356278701491,0.3693457419983242,38.371698481947874
244,1.165745,25-1-2021,0.28936154056449437,0.35209629856051367,36.54569406213742
245,1.897347,30-1-2021,0.28631419105436257,0.3475197098777403,36.3835749240125
246,1.500713,4-2-2021,0.36648885695656147,0.44121581461457365,46.331190261047055
247,1.774996,9-2-2021,0.5702674177787559,0.6873068371578556,72.31787556027976
248,1.439787,14-2-2021,0.7458405630424498,0.9039954754716988,94.87972072910972
249,1.580389,19-2-2021,0.7547470212733289,0.9127152054579659,96.43931403909967
250,1.725346,24-2-2021,0.7864867852568936,0.9557803324164977,100.629332298471
251,1.518735,1-3-2021,1.0781380966501608,1.3032197936512573,138.79812090303358
252,1.672184,6-3-2021,0.9774692168616003,1.1647617398711405,126.20773947789256
253,1.081851,11-3-2021,0.952194785598319,1.1354441106096025,123.13437201916892
254,0.001045,16-3-2021,0.8647664406258901,1.0313636409049007,112.56302776836077
255,0.002432,21-3-2021,1.0106934614725955,1.20742530325912,131.51879835627304
256,0.002665,26-3-2021,0.93151276024205,1.0970046944351481,119.76768152434613
257,0.003121,31-3-2021,1.0331968056082852,1.2113713624549767,133.6510062060738
258,0.002964,5-4-2021,1.0057527447425711,1.1834195167997104,130.98530994258005
259,0.003175,10-4-2021,1.0120241030479642,1.2043891358213494,132.07932989477456
260,0.003756,15-4-2021,1.215092125914603,1.4561052030119335,158.52762955711222
261,0.003059,20-4-2021,0.9922830928401558,1.194858148474349,129.1761144315619
262,0.003108,25-4-2021,0.9184649607014803,1.1110808206966274,119.89117595726965
263,0.002943,30-4-2021,1.084750118912631,1.3151260010143138,143.18522011548447
264,0.003797,5-5-2021,1.0636510857026051,1.2779659806591444,139.72002066546426
265,0.002298,10-5-2021,1.4569080349969932,1.7740322694519541,192.54464975491175
266,0.002776,15-5-2021,1.6538427228090145,2.0084971185028992,219.67937233625457
267,0.002765,20-5-2021,1.2466161013735275,1.5173694336333208,165.84013356423705
268,0.002896,25-5-2021,1.2633274963966594,1.543146196143331,167.9792260311007
269,0.002695,30-5-2021,1.1611064063409828,1.4156847474142424,155.51296266569742
270,0.003112,4-6-2021,1.5176026926080357,1.8410805442290892,203.00674620942024
271,0.002906,9-6-2021,1.2992726037493694,1.5814104630520178,173.13598031586085
