EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_JPY
255,0.150782,21-3-2021,1.0106934614725955,1.20742530325912,131.51879835627304
256,0.1234,26-3-2021,0.93151276024205,1.0970046944351481,119.76768152434613
257,0.14448,31-3-2021,1.0331968056082852,1.2113713624549767,133.6510062060738
258,0.137245,5-4-2021,1.0057527447425711,1.1834195167997104,130.98530994258005
259,0.146992,10-4-2021,1.0120241030479642,1.2043891358213494,132.07932989477456
260,0.173919,15-4-2021,1.215092125914603,1.4561052030119335,158.52762955711222
261,0.14163,20-4-2021,0.9922830928401558,1.194858148474349,129.1761144315619
262,0.143926,25-4-2021,0.9184649607014803,1.1110808206966274,119.89117595726965
263,0.136273,30-4-2021,1.084750118912631,1.3151260010143138,143.18522011548447
264,0.175811,5-5-2021,1.0636510857026051,1.2779659806591444,139.72002066546426
265,0.106425,10-5-2021,1.4569080349969932,1.7740322694519541,192.54464975491175
266,0.12856,15-5-2021,1.6538427228090145,2.0084971185028992,219.67937233625457
267,0.128025,20-5-2021,1.2466161013735275,1.5173694336333208,165.84013356423705
268,0.134091,25-5-2021,1.2633274963966594,1.543146196143331,167.9792260311007
269,0.124773,30-5-2021,1.1611064063409828,1.4156847474142424,155.51296266569742
270,0.144093,4-6-2021,1.5176026926080357,1.8410805442290892,203.00674620942024
271,0.134579,9-6-2021,1.2992726037493694,1.5814104630520178,173.13598031586085
272,0.137023,14-6-2021,1.293879898072177,1.5668237245333339,171.88839669992916
