EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_JPY
264,0.442311,15-5-2021,1.6538427228090145,2.0084971185028992,219.67937233625457
265,0.267555,20-5-2021,1.2466161013735275,1.5173694336333208,165.84013356423705
266,0.322982,25-5-2021,1.2633274963966594,1.543146196143331,167.9792260311007
267,0.321638,30-5-2021,1.1611064063409828,1.4156847474142424,155.51296266569742
268,0.336878,4-6-2021,1.5176026926080357,1.8410805442290892,203.00674620942024
269,0.313468,9-6-2021,1.2992726037493694,1.5814104630520178,173.13598031586085
270,0.362005,14-6-2021,1.293879898072177,1.5668237245333339,171.88839669992916
271,0.338103,19-6-2021,1.1962243002383985,1.419139968156482,156.38207838315185
272,0.344244,24-6-2021,1.0463758118941033,1.2483605486687026,138.58424958935848
